,count,mean,std,min,25%,50%,75%,max,period
T,30.0,0.34273666666666663,0.06381162191916158,0.198,0.300325,0.34625,0.3756,0.504,A
A,64.0,0.408565625,0.07747936790137634,0.2034,0.36305000000000004,0.40859999999999996,0.45082500000000003,0.5675,B
B,134.0,0.744460447761194,0.27677945673763155,0.2733,0.5383,0.6591499999999999,0.9513499999999999,1.4809999999999999,C
C,134.0,1.0183940298507463,0.34350872481530903,0.4053,0.7701749999999999,0.91205,1.2495,1.952,D
D,64.0,1.3081359375,0.19368723550077463,0.8815,1.21175,1.2930000000000001,1.4619999999999997,1.651,E
E,64.0,1.50878125,0.19913977453433881,1.053,1.39075,1.494,1.6669999999999998,1.913,F
F,134.0,1.6366567164179104,0.2544843261338184,1.113,1.4397499999999999,1.629,1.8157500000000002,2.222,G
